sp,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Lagoa do Sangradouro,Paulo Santana,Canal da Lagoa,PNLP - Banhado do balneário,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,Parna - Lagoa da Veiana,Parna - Lagoa Pai João
Rostratula semicollaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAEMATOPODIDAE,,,,,,,,,,,,,,0,0
Haematopus palliatus,0,0,0,0,0,0,0,0,0,0,0,178,239,0,0
RECURVIROSTRIDAE,,,,,,,,,,,,,,0,0
Himantopus mexicanus,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0
Himantopus melanurus,2,0,19,21,5,0,15,0,0,0,1,2,0,0,0
BURHINIDAE,,,,,,,,,,,,,,0,0
Burhinus bistriatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARADRIIDAE,,,,,,,,,,,,,,0,0
Vanellus cayanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanellus chilensis,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Pluvialis dominica,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Pluvialis squatarola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius semipalmatus,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Charadrius wilsonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius collaris,0,0,0,0,4,0,0,0,0,0,13,11,0,0,0
Charadrius falklandicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius modestus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreopholus ruficollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCOLOPACIDAE,,,,,,,,,,,,,,,
Gallinago paraguaiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallinago undulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnodromus griseus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosa haemastica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numenius borealis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numenius phaeopus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartramia longicauda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tringa melanoleuca,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0
Tringa flavipes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tringa solitaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catoptrophorus semipalmatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaria interpres,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
Calidris canutus,0,0,0,0,57,0,0,0,0,0,0,155,376,0,0
Calidris alba,0,0,0,0,0,0,0,0,0,0,0,0,1236,0,0
Calidris pusilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris minutilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris fuscicollis,0,0,0,0,0,0,0,0,0,0,54,0,56,0,0
Calidris melanotos  (Micropalama himantopus),0,0,0,0,0,0,0,0,0,0,0,22,194,0,0
Tryngites subruficollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philomachus pugnax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steganopus tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARIDAE,,,,,,,,,,,,,,,
Larus atlanticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus dominicanus,0,0,0,0,0,0,0,0,0,0,24,247,247,0,0
Larus cirrocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus maculipennis,0,0,0,0,0,0,0,0,0,0,640,181,55,0,0
Larus atricilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna sandvicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna maxima,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0
Sterna dougallii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna hirundinacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna hirundo,0,0,0,0,0,0,0,0,0,0,0,27,350,0,0
Sterna paradisaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna vittata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna trudeaui,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Sterna antillarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna superciliaris,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Sterna fuscata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlidonias niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaetusa simplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anous stolidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anous minutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RYNCHOPIDAE,,,,,,,,,,,,,,,
Rynchops niger,0,0,0,0,0,0,0,0,0,0,61,285,12,0,0
OUTRAS,,,,,,,,,,,,,,,
Rostrhamus sociabilis,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0
Circus buffoni,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ceryle torquatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Xolmis irupero,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
