sp,TOTAL,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Lagoa do Sangradouro,Canal da Lagoa,PNLP - Banhado do balneário,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,PNLP - Figueiras
Oreopholus ruficollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCOLOPACIDAE,, , , , , , , , , , , , , 
Gallinago galinago,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallinago paraguaiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallinago undulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnodromus griseus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosa haemastica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numenius borealis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numenius phaeopus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartramia longicauda,4,0,0,0,0,0,0,0,0,0,4,0,0,0
Tringa melanoleuca,33,0,0,0,17,0,0,0,0,0,0,4,0,12
Tringa flavipes,46,0,0,0,0,0,0,0,0,0,46,0,0,0
Tringa solitaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catoptrophorus semipalmatus,29,0,0,0,0,0,0,0,0,0,0,29,0,0
Arenaria interpres,13,0,0,0,0,0,0,0,0,0,0,13,0,0
Calidris canutus,353,0,0,0,0,0,0,0,0,0,2,343,3,5
Calidris alba,294,0,0,0,0,0,0,0,0,0,0,91,203,0
Calidris pusilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris minutilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris fuscicollis,448,0,0,0,0,0,0,0,0,0,0,0,448,0
Calidris bairdii,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micropalama himantopus  (Calidris melanotos),0,0,0,0,0,0,0,0,0,0,0,0,0,0
