Date,Flock,Video,Timestamp,local.time,notes
09/03/16,Fus2,7467,20:18:00,14:58:00,
09/03/16,Fus2,7468,21:10:00,15:50:00,
09/03/16,Fus1,7469,21:13:00,15:53:00,
09/03/16,Fus2,7471,21:15:00,15:55:00,
09/03/16,Fus2,7472,21:17:00,15:57:00,
09/03/16,Fus2,7473,21:18:00,15:58:00,
09/03/16,Fus1,7474,21:24:00,16:04:00,
09/03/16,Fus2,7478,22:04:00,16:44:00,
10/03/16,Fus1,7479,21:06:00,15:46:00,
10/03/16,Fus1,7482,21:11:00,15:51:00,
10/03/16,Fus1,7483,21:14:00,15:54:00,
10/03/16,Fus1,7484,21:15:00,15:55:00,
10/03/16,Fus1,7487,21:20:00,16:00:00,
10/03/16,Fus1,7488,21:22:00,16:02:00,
10/03/16,Fus1,7489,21:23:00,16:03:00,
10/03/16,Fus1,7490,21:24:00,16:04:00,
10/03/16,Fus2,7492,21:45:00,16:25:00,
10/03/16,Fus2,7493,21:46:00,16:26:00,
10/03/16,Fus2,7494,21:50:00,16:30:00,
10/03/16,Fus2,7495,21:52:00,16:32:00,
10/03/16,Fus2,7496,21:53:00,16:33:00,
10/03/16,Fus2,7499,21:57:00,16:37:00,
10/03/16,San1,7500,22:00:00,16:40:00,
10/03/16,San1,7503,22:04:00,16:44:00,
10/03/16,Fus2,7504,22:14:00,16:54:00,
10/03/16,Fus2,7506,22:16:00,16:56:00,
10/03/16,Fus2,7507,22:17:00,16:57:00,
10/03/16,Fus2,7508,22:19:00,16:59:00,
10/03/16,Fus2,7509,22:21:00,17:01:00,
10/03/16,Fus2,7510,22:22:00,17:02:00,
10/03/16,Fus2,7511,22:23:00,17:03:00,
12/03/16,Fus2,7513,20:43:00,15:23:00,
12/03/16,Fus2,7515,20:45:00,15:25:00,
12/03/16,Fus2,7516,20:58:00,15:38:00,
12/03/16,San2,7519,21:53:00,16:33:00,
12/03/16,San2,7520,22:00:00,16:40:00,
12/03/16,San2,7523,22:03:00,16:43:00,
12/03/16,San2,7524,22:04:00,16:44:00,
12/03/16,San2,7526,22:10:00,16:50:00,
12/03/16,San2,7527,22:11:00,16:51:00,
12/03/16,Fus5,7531,22:32:00,17:12:00,
12/03/16,San3,7532,22:34:00,17:14:00,
12/03/16,San3,7538,22:47:00,17:27:00,
12/03/16,San3,7539,22:48:00,17:28:00,
12/03/16,San3,7541,22:50:00,17:30:00,
12/03/16,San3,7542,22:51:00,17:31:00,
12/03/16,San3,7543,22:54:00,17:34:00,
12/03/16,San3,7545,22:57:00,17:37:00,
12/03/16,San3,7546,23:00:00,17:40:00,
12/03/16,San3,7547,23:02:00,17:42:00,
12/03/16,San3,7549,23:06:00,17:46:00,
12/03/16,San3,7551,23:08:00,17:48:00,
12/03/16,San3,7553,23:13:00,17:53:00,
12/03/16,San3,7555,23:23:00,18:03:00,
12/03/16,San3,7558,23:28:00,18:08:00,
12/03/16,San3,7559,23:34:00,18:14:00,
12/03/16,San3,7560,23:35:00,18:15:00,
12/03/16,San3,7561,23:37:00,18:17:00,
12/03/16,San3,7562,23:39:00,18:19:00,
12/03/16,San3,7563,23:44:00,18:24:00,
12/03/16,San3,7564,23:46:00,18:26:00,
13/03/16,Fus1,7568,19:55:00,14:35:00,
13/03/16,Fus1,7569,19:56:00,14:36:00,
13/03/16,Fus1,7570,19:57:00,14:37:00,
13/03/16,Fus1,7571,20:02:00,14:42:00,
13/03/16,Fus1,7572,20:03:00,14:43:00,
13/03/16,Fus1,7573,20:04:00,14:44:00,
13/03/16,Fus1,7574,20:05:00,14:45:00,
13/03/16,Fus2,7575,20:15:00,14:55:00,
13/03/16,Fus3,7576,20:27:00,15:07:00,
13/03/16,Fus3,7577,20:29:00,15:09:00,
13/03/16,Fus3,7578,20:32:00,15:12:00,
13/03/16,Fus3,7579,20:33:00,15:13:00,
13/03/16,Fus4,7580,21:06:00,15:46:00,
13/03/16,Fus4,7581,21:07:00,15:47:00,
13/03/16,Fus4,7582,21:09:00,15:49:00,
13/03/16,Fus4,7584,21:14:00,15:54:00,
13/03/16,Fus5,7589,21:42:00,16:22:00,
13/03/16,Fus6,7596,21:55:00,16:35:00,
13/03/16,Fus6,7597,21:58:00,16:38:00,
13/03/16,Fus6,7598,21:59:00,16:39:00,
13/03/16,Fus6,7599,22:02:00,16:42:00,
13/03/16,Fus7,7607,22:29:00,17:09:00,
13/03/16,Fus7,7608,22:30:00,17:10:00,
13/03/16,Fus7,7609,22:31:00,17:11:00,
13/03/16,Fus7,7611,22:46:00,17:26:00,
13/03/16,Fus7,7612,22:51:00,17:31:00,
13/03/16,San7,7585,21:36:00,16:16:00,
13/03/16,San7,7587,21:39:00,16:19:00,
13/03/16,San7,7588,21:40:00,16:20:00,
13/03/16,San8,7605,22:15:00,16:55:00,
14/02/16,San1,7615,22:32:00,17:12:00,
14/02/16,San1,7616,22:33:00,17:13:00,
14/02/16,San1,7617,22:37:00,17:17:00,
14/02/16,San1,7620,22:41:00,17:21:00,
14/02/16,San1,7622,22:43:00,17:23:00,
14/02/16,San1,7623,22:46:00,17:26:00,
14/02/16,San1,7624,22:47:00,17:27:00,
14/02/16,San1,7625,22:49:00,17:29:00,
14/02/16,San1,7627,22:51:00,17:31:00,
14/02/16,San1,7628,22:52:00,17:32:00,
14/02/16,San1,7629,22:54:00,17:34:00,
14/02/16,San1,7631,22:57:00,17:37:00,
14/02/16,San1,7633,23:00:00,17:40:00,
