sp,nome_pt,status,ref
Gelochelidon nilotica,Trinta-réis-de-bico-preto,R,(Nascimento 1995)
Chlidonias niger,Trinta-réis-negro,"N, V",(Nascimento 1995)
Sterna hirundo,Trinta-réis-boreal,N,(Nascimento 1995)
Sterna hirundinacea,Trinta-réis-de-bico-vermelho,S,(Nascimento 1995)
Sterna vittata,Trinta-réis-antártico,VA (S),(Nascimento 1995)
Sterna trudeaui,Trinta-réis-de-coroa-branca,R,(Nascimento 1995)
Sterna sandvicensis,Trinta-réis-de-bico-amarelo,S,(Nascimento 1995)
Thalasseus maximus,Trinta-réis-real,"R, #",(Nascimento 1995)
RYNCHOPIDAE,,,
Rynchops niger,Talha-mar,R,(Nascimento 1995)
COLUMBIDAE,,,
Columbina talpacoti,Rolinha-roxa,R,(Nascimento 1995)
Columbina picui,Rolinha-picuí,R,(Nascimento 1995)
Patagioenas picazuro,"Asa-branca, Pombão",R,
Zenaida auriculata,Pomba-de-bando,R,
Leptotila verreauxi,Juriti-pupu,R,
PSITTACIDAE,,,
Myiopsitta monachus,Caturrita,R/nd,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
CUCULIDAE,,,
Piaya cayana,Alma-de-gato,R,(Nascimento 1995)
Crotophaga ani,Anu-preto,R,(Nascimento 1995)
Guira guira,Anu-branco,R/nd,(Nascimento 1995)
Tapera naevia,Saci,R,(Nascimento 1995)
TYTONIDAE,,,
Tyto Alba,Coruja-de-igreja,R,(Nascimento 1995)
STRIGIDAE,,,
Bubo virginianus,Jacurutu,R#,
Athene cunicularia (Speotyto cunicularia),Coruja-do-campo,R/nd,(Nascimento 1995)
Rhinoptynx clamator,Coruja-orelhuda,R,(Nascimento 1995)
CAPRIMULGIDAE,,,
Podager nacunda,Corucão,M,
Hydropsalis torquata,Bacurau-tesoura,R/nd,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
TROCHILIDAE,,,
Hylocharis chrysura,Beija-flor-dourado,R,(Nascimento 1995)
ALCEDINIDAE,,,
Megaceryle torquata,Martim-pescador-grande,R,(Nascimento 1995)
Chloroceryle amazona,Martim-pescador-verde,R,(Nascimento 1995)
Chloroceryle americana,Martim-pescador-pequeno,R,(Nascimento 1995)
PICIDAE,,,
Colaptes melanochloros,Pica-pau-verde-barrado,R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Colaptes campestris,Pica-pau-do-campo,R,(Nascimento 1995)
THAMNOPHILIDAE,,,
Thamnophilus ruficapillus,Choca-de-boné-vermelho,R,(Nascimento 1995)
Thamnophilus caerulescens,Choca-da-mata,R,
SCLERURIDAE,,,
Geositta cunicularia,Curiqueiro (Bate-bunda),R,
FURNARIIDAE,,,
Furnarius rufus,João-de-barro,R/nd,(Nascimento 1995)
Limnornis curvirostris,Junqueiro-de-bico-curvo,R/nd,(Nascimento 1995)
