"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PPRAI.06v",0.867556697467118,0.893301156937037,0.847036643232237,0.887488382056137,0.866423335620961,0.857733955043282,0.887232730434029,0.879582916705536,0.875065692857301,0.844169141893776,0.859443684888326,0.844402462065231,0.887430411762537,0.867765009962294,0.87589395668676,0.859548738091414,0.889539559904232,0.887226621713552,0.888618448075261,0.855984103242846
"VEANA.06v",0.829825107834266,0.888705008409279,0.907146914341245,0.897139258543102,0.901518952828696,0.92121583843943,0.807772650290008,0.876053118862193,0.80149207056036,0.816988232738742,0.892143831507576,0.817073944497979,0.907694480858522,0.867704249697042,0.859143309200731,0.871720054202328,0.840956948941599,0.796724206848689,0.858634274352625,0.819102612989284
"PAPAG.07v",0.768181984879344,0.876464995586871,0.781152807828969,0.788661665821325,0.859853167904186,0.805587697766575,0.901341055042577,0.843915832644967,0.887862743304118,0.860962953387755,0.867005690807495,0.78975948223276,0.81423400944958,0.835303853172598,0.716826175484573,0.859143808465585,0.930875736798295,0.844869403291749,0.864159314554764,0.921955581858807
"PANTA.07v",0.880416023402963,0.857454269203549,0.835196835688656,0.893269286032985,0.868647795516622,0.868039181253095,0.901584195281669,0.817127826872001,0.931328987903948,0.871480471236128,0.850008494999307,0.831631999576853,0.896589870505213,0.887238906144936,0.903590860025045,0.874043013663328,0.910264823867722,0.917204785361507,0.905593972412901,0.83528324834046
"CAIEA.07v",0.860391210977198,0.872817913796128,0.859603923381951,0.899896354955252,0.887339521407773,0.859507803449243,0.866772464544689,0.899243310922478,0.828371326117554,0.845850913247152,0.891225051143746,0.869153144279063,0.897879998399023,0.910868406924597,0.852582013885672,0.85633274911156,0.884704895586521,0.886196314621996,0.892177909939753,0.847982912271301
"FUNDO.07v",0.805966788309903,0.833429954703422,0.832335888968181,0.867632598326942,0.849257840944509,0.895523554124724,0.899852533179624,0.850583458405543,0.874688598165458,0.861290546529577,0.875002240243752,0.894977346911999,0.82582473732687,0.868733996763137,0.877818749600777,0.906167523655186,0.784231562477883,0.897202156669752,0.919472076997659,0.880469277782165
"RINCO.07v",0.858045123556225,0.89308076014238,0.871112951886505,0.934026857901293,0.821646181867139,0.892167368904812,0.872758024463889,0.911952739085709,0.863792886465394,0.879793774097968,0.873076381539274,0.886481162652601,0.886978332890025,0.89008212757021,0.86384392823531,0.808236625894655,0.915001660428365,0.878594054093881,0.870694413086976,0.848062207711966
"DOURO.07v",0.873495153798026,0.858207993621084,0.879756525946844,0.900533517077853,0.876376348335419,0.89399968393479,0.861296285768648,0.862291265033575,0.867674033000573,0.815127564929354,0.851957006286994,0.83419051686367,0.89047944224634,0.874948934035041,0.871201066275267,0.83600232329228,0.892305245464562,0.879444547073195,0.902762762335463,0.834034476534571
"CANAL.07v",0.832007862920031,0.883520465077161,0.869678938774247,0.862521732459118,0.876123533036691,0.827124257753734,0.922708896975587,0.915376477284984,0.899153990833644,0.830727557572671,0.871626011930011,0.910179650194948,0.886729003068299,0.877327320495579,0.881340553549497,0.871733865344793,0.856630346630403,0.9157175868942,0.878454057333892,0.906703861773179
"BABAL.07v",0.843651192912894,0.886095934992046,0.849283226397358,0.895230932677797,0.883659390077438,0.890300476565195,0.888902217013288,0.8943630115073,0.917883508152101,0.885661261970539,0.878439556411845,0.833617227914408,0.876673598641103,0.885153592227336,0.905122091468567,0.832974529974844,0.895013081251451,0.881094766613008,0.825293546760717,0.857728220274703
